Count;Id;Label;Type;Bastard;Non-cyrillic
2260938;на;на;PR;False;False
1890489;гороскоп;гороскоп;S;False;False
1081832;год;год;S;False;False
971949;сонник;сонник;S;False;False
651447;онлайн;онлайн;ADV,A;False;False
640603;гадание;гадание;S;False;False
591293;сегодня;сегодня;ADV;False;False
578178;ноябрь;ноябрь;S;False;False
508894;календарь;календарь;S;False;False
467620;имя;имя;S;False;False
408101;по;по;PR;False;False
372807;лунный;лунный;A;False;False
361586;сон;сон;S;False;False
359400;знак;знак;S;False;False
351695;бесплатно;бесплатно;ADV;False;False
346831;зодиак;зодиак;S;False;False
326527;в;в;PR,S;False;False
279271;что;что;SPRO,CONJ;False;False
249514;толкование;толкование;S;False;False
237770;совместимость;совместимость;S;False;False
234291;завтра;завтра;ADV;False;False
227198;значение;значение;S;False;False
225717;для;для;PR;False;False
213285;и;и;CONJ;False;False
191795;к;к;PR,S;False;False
179287;сниться;сниться;V;False;False
176186;декабрь;декабрь;S;False;False
160524;день;день;S;False;False
152753;таро;таро;S;False;False
143187;стрижка;стрижка;S;False;False
131064;с;с;PR,S;False;False
128640;карта;карта;S;False;False
123424;какой;какой;APRO;False;False
119127;луна;луна;S;False;False
111102;россия;россия;S;False;False
104733;женщина;женщина;S;False;False
100811;рождение;рождение;S;False;False
97830;праздник;праздник;S;False;False
92810;дата;дата;S;False;False
90241;выходной;выходной;S,A;False;False
90103;любовь;любовь;S;False;False
72446;рак;рак;S;False;False
71445;скорпион;скорпион;S;False;False
68527;неделя;неделя;S;False;False
66640;близнец;близнец;S;False;False
65128;фаза;фаза;S;False;False
63616;животное;животное;S;False;False
63616;мужчина;мужчина;S;False;False
63320;миллер;миллер;S;False;False
63243;предсказание;предсказание;S;False;False
62601;девочка;девочка;S;False;False
61115;овен;овен;S;False;False
60965;благоприятный;благоприятный;A;False;False
59852;лев;лев;S;False;False
59746;новый;новый;A;False;False
59657;книга;книга;S;False;False
58638;рыба;рыба;S;False;False
58578;дева;дева;S;False;False
58469;козерог;козерог;S;False;False
56709;волос;волос;S;False;False
56121;телец;телец;S;False;False
55470;стрелец;стрелец;S;False;False
55343;как;как;ADVPRO,CONJ;False;False
55341;весы;весы;S;False;False
53679;водолей;водолей;S;False;False
51285;отношение;отношение;S;False;False
49705;мальчик;мальчик;S;False;False
45568;нет;нет;PART,ADV;False;False
45130;во;во;PR;False;False
44974;перемена;перемена;S;False;False
44536;характеристика;характеристика;S;False;False
42531;означать;означать;V;False;False
41290;прогноз;прогноз;S;False;False
40799;толкователь;толкователь;S;False;False
40499;да;да;CONJ,PART;False;False
40495;когда;когда;CONJ,ADVPRO;False;False
40369;месяц;месяц;S;False;False
38180;экстрасенс;экстрасенс;S;False;False
38141;от;от;PR;False;False
37888;женский;женский;A;False;False
37132;восточный;восточный;A;False;False
35922;пенсия;пенсия;S;False;False
35527;пасьянс;пасьянс;S;False;False
34634;быть;быть;V;False;False
33532;будущее;будущее;S;False;False
32919;судьба;судьба;S;False;False
32567;нумерология;нумерология;S;True;False
32046;василиса;василиса;S;False;False
30513;любовный;любовный;A;False;False
30310;кто;кто;SPRO;False;False
30182;оракул;оракул;S;False;False
29562;рука;рука;S;False;False
29557;ванга;ванга;S;False;False
27234;соник;соник;S;True;False
27192;мужской;мужской;A;False;False
24507;камень;камень;S;False;False
24496;битва;битва;S;False;False
24475;сновидение;сновидение;S;False;False
24442;гуща;гуща;S;False;False
24442;кофейный;кофейный;A;False;False
23883;праздничный;праздничный;A;False;False
23454;собака;собака;S;False;False
23373;ванг;ванг;S;False;False
22557;фамилия;фамилия;S;False;False
22454;коза;коза;S;False;False
22215;гадать;гадать;V;False;False
22199;повышение;повышение;S;False;False
22167;рамблер;рамблер;S;False;False
21573;сезон;сезон;S;False;False
21236;последний;последний;A;False;False
20909;новость;новость;S;False;False
20838;присниться;присниться;V;False;False
19898;володина;володина;S;False;False
19101;г;г;S;False;False
18664;распечатывать;распечатывать;V;False;False
18638;руны;руны;S;False;False
18605;беременность;беременность;S;False;False
18364;змея;змея;S;False;False
18271;линия;линия;S;False;False
17821;астрологический;астрологический;A;False;False
17424;число;число;S;False;False
17393;полнолуние;полнолуние;S;False;False
16621;хиромантия;хиромантия;S;False;False
16612;китайский;китайский;A;False;False
16597;я;я;SPRO;False;False
16262;руно;руно;S;False;False
16101;украина;украина;S;False;False
16066;доллар;доллар;S;False;False
15894;тест;тест;S;False;False
15889;фото;фото;S;False;False
15497;юнона;юнона;S;False;False
15488;их;их;APRO;False;False
15404;производственный;производственный;A;False;False
15392;жизнь;жизнь;S;False;False
15134;джулия;джулия;S;False;False
15092;расти;расти;V;False;False
14990;ру;ру;None;False;True
14565;ждать;ждать;V;False;False
14203;происхождение;происхождение;S;False;False
14085;свой;свой;APRO;False;False
13902;майл;майл;S;False;False
13804;молитва;молитва;S;False;False
13596;овца;овца;S;False;False
13557;смотреть;смотреть;V;False;False
13546;человек;человек;S;False;False
13236;погадать;погадать;V;False;False
13172;отдыхать;отдыхать;V;False;False
13013;серия;серия;S;False;False
12875;кошка;кошка;S;False;False
12832;октябрь;октябрь;S;False;False
12795;о;о;PR;False;False
12643;ru;ru;None;False;True
12377;или;или;CONJ;False;False
12338;симптом;симптом;S;False;False
12293;сценарий;сценарий;S;False;False
12174;близкий;близкий;A;False;False
12087;январь;январь;S;False;False
12048;сейчас;сейчас;ADV;False;False
11743;ребенок;ребенок;S;False;False
11647;новогодний;новогодний;A;False;False
11520;военный;военный;A,S;False;False
11323;новолуние;новолуние;S;False;False
11247;ли;ли;PART,CONJ;False;False
11232;у;у;PR;False;False
10974;володин;володин;S;False;False
10945;корпоратив;корпоратив;S;False;False
10853;деньги;деньги;S;False;False
10762;ujhjcrjg;ujhjcrjg;None;False;True
10676;крыса;крыса;S;False;False
10616;свадьба;свадьба;S;False;False
10323;примета;примета;S;False;False
10283;пенсионер;пенсионер;S;False;False
10252;налог;налог;S;False;False
10243;cjyybr;cjyybr;None;False;True
10190;татьяна;татьяна;S;False;False
10000;видеть;видеть;V;False;False
9988;курс;курс;S;False;False
9982;рабочий;рабочий;A;False;False
9924;обозначать;обозначать;V;False;False
9850;воспаление;воспаление;S;False;False
9796;красивый;красивый;A;False;False
9735;анастасия;анастасия;S;False;False
9651;архангел;архангел;S;False;False
9609;биография;биография;S;False;False
9422;русский;русский;S,A;False;False
9228;заговор;заговор;S;False;False
9197;александр;александр;S;False;False
9091;уже;уже;ADV;False;False
9066;характер;характер;S;False;False
8959;легкое;легкое;S;False;False
8955;нива;нива;S;False;False
8931;тот;тот;APRO;False;False
8749;список;список;S;False;False
8620;окулус;окулус;S;True;False
8612;именины;именины;S;False;False
8550;прикол;прикол;S;False;False
8511;чихалка;чихалка;S;False;False
8369;любимый;любимый;A;False;False
8303;ты;ты;SPRO;False;False
8194;натальный;натальный;A;False;False
8126;называть;называть;V;False;False
8059;при;при;PR;False;False
7903;окрашивание;окрашивание;S;False;False
7783;цвет;цвет;S;False;False
7678;анна;анна;S;False;False
7642;встречать;встречать;V;False;False
7582;парень;парень;S;False;False
7568;себя;себя;SPRO;False;False
7529;брак;брак;S;False;False
7469;православный;православный;A;False;False
7420;современный;современный;A;False;False
7409;церковный;церковный;A;False;False
7321;который;который;APRO;False;False
7273;мышь;мышь;S;False;False
7272;тайна;тайна;S;False;False
7229;стричь;стричь;V;False;False
7202;он;он;SPRO;False;False
7138;кровь;кровь;S;False;False
7123;дом;дом;S;False;False
7090;весь;весь;APRO;False;False
7073;ленорман;ленорман;S;True;False
7006;утверждать;утверждать;V;False;False
6961;мусульманский;мусульманский;A;False;False
6932;рф;рф;S;False;False
6902;павел;павел;S;False;False
6894;тельце;тельце;S;False;False
6880;лошадь;лошадь;S;False;False
6867;прошлый;прошлый;A;False;False
6842;сколько;сколько;ADV,CONJ;False;False
6835;стол;стол;S;False;False
6829;без;без;PR;False;False
6803;правительство;правительство;S;False;False
6748;читать;читать;V;False;False
6743;желание;желание;S;False;False
6724;чем;чем;CONJ;False;False
6650;котенок;котенок;S;False;False
6613;индексация;индексация;S;False;False
6606;имущество;имущество;S;False;False
6551;паук;паук;S;False;False
6509;астромеридиан;астромеридиан;S;True;False
6467;сбываться;сбываться;V;False;False
6434;гавно;гавно;S;False;False
6415;украшать;украшать;V;False;False
6369;символ;символ;S;False;False
6208;дмитрий;дмитрий;S;False;False
6205;лицо;лицо;S;False;False
6128;игральный;игральный;A;False;False
6128;цена;цена;S;False;False
6102;астропрогноз;астропрогноз;S;True;False
6096;народный;народный;A;False;False
5980;беременный;беременный;A;False;False
5957;максим;максим;S;False;False
5954;вера;вера;S;False;False
5935;физический;физический;A;False;False
5883;самый;самый;APRO;False;False
5878;екатерина;екатерина;S;False;False
5854;сергей;сергей;S;False;False
5828;удача;удача;S;False;False
5689;расклад;расклад;S;False;False
5679;шевроле;шевроле;S;False;False
5656;другой;другой;APRO;False;False
5648;до;до;PR,S;False;False
5597;война;война;S;False;False
5573;из;из;PR;False;False
5564;буря;буря;S;False;False
5552;дарья;дарья;S;False;False
5552;ноябрьский;ноябрьский;A;False;False
5531;елена;елена;S;False;False
5492;платье;платье;S;False;False
5440;убывать;убывать;V;False;False
5378;кличка;кличка;S;False;False
