Weight;Source;Target;Type
1103068;гороскоп;на;Undirected
558206;год;на;Undirected
482974;на;сегодня;Undirected
478196;гороскоп;сегодня;Undirected
349001;на;ноябрь;Undirected
342623;календарь;на;Undirected
309089;гадание;онлайн;Undirected
302519;год;календарь;Undirected
296869;календарь;лунный;Undirected
270101;знак;зодиак;Undirected
263811;год;гороскоп;Undirected
252540;бесплатно;онлайн;Undirected
249973;лунный;на;Undirected
245450;сон;сонник;Undirected
244719;календарь;ноябрь;Undirected
222461;лунный;ноябрь;Undirected
213646;сон;толкование;Undirected
207684;год;ноябрь;Undirected
203008;год;лунный;Undirected
199010;сонник;толкование;Undirected
197516;завтра;на;Undirected
196197;гороскоп;завтра;Undirected
185128;бесплатно;гадание;Undirected
175827;гадание;на;Undirected
162044;онлайн;сонник;Undirected
112158;знак;по;Undirected
112158;зодиак;по;Undirected
109374;гороскоп;по;Undirected
105774;календарь;стрижка;Undirected
103636;год;по;Undirected
97970;гороскоп;ноябрь;Undirected
93631;в;год;Undirected
92394;декабрь;на;Undirected
91076;на;стрижка;Undirected
85136;ноябрь;стрижка;Undirected
84461;знак;совместимость;Undirected
83505;зодиак;совместимость;Undirected
78643;лунный;стрижка;Undirected
74519;год;и;Undirected
71412;год;с;Undirected
69206;в;ноябрь;Undirected
68318;на;онлайн;Undirected
67919;и;календарь;Undirected
64995;выходной;год;Undirected
64589;гадание;карта;Undirected
63697;год;день;Undirected
62760;выходной;и;Undirected
62201;и;на;Undirected
62065;на;по;Undirected
61757;календарь;с;Undirected
60859;год;праздник;Undirected
59734;по;рождение;Undirected
59611;миллер;сонник;Undirected
59586;к;что;Undirected
59569;и;с;Undirected
59338;календарь;праздник;Undirected
59180;выходной;календарь;Undirected
59009;значение;имя;Undirected
58948;день;лунный;Undirected
58410;выходной;праздник;Undirected
58410;выходной;с;Undirected
58410;и;праздник;Undirected
58410;праздник;с;Undirected
58282;гадание;таро;Undirected
58031;гороскоп;знак;Undirected
58031;гороскоп;зодиак;Undirected
57991;на;с;Undirected
57990;к;сниться;Undirected
