Count;Id;Label;Type;Bastard;Non-cyrillic
1733332;на;на;PR;False;False
1503814;гороскоп;гороскоп;S;False;False
836128;сонник;сонник;S;False;False
740167;год;год;S;False;False
531429;сегодня;сегодня;ADV;False;False
531069;онлайн;онлайн;ADV,A;False;False
491895;гадание;гадание;S;False;False
433859;ноябрь;ноябрь;S;False;False
426813;календарь;календарь;S;False;False
320111;лунный;лунный;A;False;False
285355;сон;сон;S;False;False
278196;по;по;PR;False;False
274028;бесплатно;бесплатно;ADV;False;False
272803;знак;знак;S;False;False
270101;зодиак;зодиак;S;False;False
230953;толкование;толкование;S;False;False
201925;имя;имя;S;False;False
198450;завтра;завтра;ADV;False;False
177838;совместимость;совместимость;S;False;False
166289;в;в;PR;False;False
121862;и;и;CONJ;False;False
115092;стрижка;стрижка;S;False;False
105187;декабрь;декабрь;S;False;False
104075;таро;таро;S;False;False
103661;день;день;S;False;False
102509;для;для;PR;False;False
94554;значение;значение;S;False;False
92778;луна;луна;S;False;False
81877;карта;карта;S;False;False
78674;что;что;SPRO,CONJ;False;False
77776;с;с;PR,S;False;False
77454;праздник;праздник;S;False;False
76635;выходной;выходной;S,A;False;False
64319;россия;россия;S;False;False
63063;любовь;любовь;S;False;False
60743;рождение;рождение;S;False;False
59611;миллер;миллер;S;False;False
59586;к;к;PR;False;False
59249;дата;дата;S;False;False
57990;сниться;сниться;V;False;False
53854;фаза;фаза;S;False;False
51339;благоприятный;благоприятный;A;False;False
49408;какой;какой;APRO;False;False
45391;книга;книга;S;False;False
44826;неделя;неделя;S;False;False
40968;близнец;близнец;S;False;False
39859;рак;рак;S;False;False
39209;толкователь;толкователь;S;False;False
38317;скорпион;скорпион;S;False;False
34390;предсказание;предсказание;S;False;False
33855;девочка;девочка;S;False;False
33765;перемена;перемена;S;False;False
33317;волос;волос;S;False;False
33051;телец;телец;S;False;False
32747;овен;овен;S;False;False
32215;отношение;отношение;S;False;False
32132;месяц;месяц;S;False;False
31987;дева;дева;S;False;False
30262;лев;лев;S;False;False
30242;козерог;козерог;S;False;False
29261;весы;весы;S;False;False
28505;восточный;восточный;A;False;False
27954;нет;нет;PART,ADV;False;False
26554;рыба;рыба;S;False;False
26081;да;да;CONJ;False;False
25482;нумерология;нумерология;S;True;False
25258;соник;соник;S;True;False
24993;прогноз;прогноз;S;False;False
24519;мальчик;мальчик;S;False;False
24270;когда;когда;ADVPRO,CONJ;False;False
24206;новый;новый;A;False;False
23407;водолей;водолей;S;False;False
23360;стрелец;стрелец;S;False;False
22570;пенсия;пенсия;S;False;False
22175;пасьянс;пасьянс;S;False;False
21630;характеристика;характеристика;S;False;False
21618;животное;животное;S;False;False
21522;женский;женский;A;False;False
20686;сновидение;сновидение;S;False;False
19732;гуща;гуща;S;False;False
19732;кофейный;кофейный;A;False;False
18743;экстрасенс;экстрасенс;S;False;False
18075;рамблер;рамблер;S;False;False
17907;ванга;ванга;S;False;False
17887;праздничный;праздничный;A;False;False
17786;василиса;василиса;S;False;False
17563;оракул;оракул;S;False;False
17428;г;г;S;False;False
16682;от;от;PR;False;False
16388;будущее;будущее;S;False;False
16351;кто;кто;SPRO;False;False
16351;мужской;мужской;A;False;False
16187;мужчина;мужчина;S;False;False
15941;повышение;повышение;S;False;False
14592;астрологический;астрологический;A;False;False
14062;руны;руны;S;False;False
13875;камень;камень;S;False;False
13719;любовный;любовный;A;False;False
13146;женщина;женщина;S;False;False
12970;распечатывать;распечатывать;V;False;False
12809;последний;последний;A;False;False
12738;битва;битва;S;False;False
12738;сезон;сезон;S;False;False
12300;хиромантия;хиромантия;S;False;False
12234;производственный;производственный;A;False;False
12189;ванг;ванг;S;False;False
12076;руно;руно;S;False;False
12058;беременность;беременность;S;False;False
12036;новость;новость;S;False;False
11953;фамилия;фамилия;S;False;False
11626;судьба;судьба;S;False;False
11575;китайский;китайский;A;False;False
11272;полнолуние;полнолуние;S;False;False
11171;рука;рука;S;False;False
11110;коза;коза;S;False;False
10815;смотреть;смотреть;V;False;False
10470;юнона;юнона;S;False;False
10462;володина;володина;S;False;False
9867;быть;быть;V;False;False
9845;овца;овца;S;False;False
9688;cjyybr;cjyybr;None;False;True
9644;число;число;S;False;False
9599;гадать;гадать;V;False;False
9543;расти;расти;V;False;False
8985;джулия;джулия;S;False;False
8978;сейчас;сейчас;ADV;False;False
8931;тот;тот;APRO;False;False
8931;уже;уже;ADV;False;False
8578;их;их;APRO;False;False
8321;змея;змея;S;False;False
8266;ujhjcrjg;ujhjcrjg;None;False;True
8264;новолуние;новолуние;S;False;False
8186;линия;линия;S;False;False
8170;собака;собака;S;False;False
8115;майл;майл;S;False;False
8094;серия;серия;S;False;False
8011;военный;военный;A,S;False;False
7934;близкий;близкий;A;False;False
7903;окрашивание;окрашивание;S;False;False
7629;архангел;архангел;S;False;False
7543;ждать;ждать;V;False;False
7455;чихалка;чихалка;S;False;False
7324;володин;володин;S;False;False
7308;воспаление;воспаление;S;False;False
7308;легкое;легкое;S;False;False
7242;доллар;доллар;S;False;False
7191;корпоратив;корпоратив;S;False;False
7191;прикол;прикол;S;False;False
7191;сценарий;сценарий;S;False;False
6803;правительство;правительство;S;False;False
6803;рф;рф;S;False;False
6803;утверждать;утверждать;V;False;False
6781;означать;означать;V;False;False
6607;налог;налог;S;False;False
6306;как;как;CONJ,ADVPRO;False;False
6229;биография;биография;S;False;False
6194;молитва;молитва;S;False;False
6124;симптом;симптом;S;False;False
6090;окулус;окулус;S;True;False
5980;нива;нива;S;False;False
5919;присниться;присниться;V;False;False
5907;ру;ру;None;False;True
5554;погадать;погадать;V;False;False
5506;отдыхать;отдыхать;V;False;False
5399;примета;примета;S;False;False
5364;татьяна;татьяна;S;False;False
5253;анастасия;анастасия;S;False;False
5253;пенсионер;пенсионер;S;False;False
5107;толковый;толковый;A;False;False
4988;человек;человек;S;False;False
4928;октябрь;октябрь;S;False;False
4826;январь;январь;S;False;False
4762;имущество;имущество;S;False;False
4762;лицо;лицо;S;False;False
4762;физический;физический;A;False;False
4699;крыса;крыса;S;False;False
4665;курс;курс;S;False;False
4616;посмотреть;посмотреть;V;False;False
4596;список;список;S;False;False
4397;брак;брак;S;False;False
4378;кошка;кошка;S;False;False
4368;жизнь;жизнь;S;False;False
4208;астромеридиан;астромеридиан;S;True;False
4160;игнио;игнио;S;True;False
4145;натальный;натальный;A;False;False
4115;я;я;SPRO;False;False
4104;церковный;церковный;A;False;False
4055;анна;анна;S;False;False
4013;фото;фото;S;False;False
4013;цена;цена;S;False;False
4013;шевроле;шевроле;S;False;False
3804;украина;украина;S;False;False
3692;или;или;CONJ;False;False
3677;при;при;PR;False;False
3655;свадьба;свадьба;S;False;False
3636;о;о;PR;False;False
3614;народный;народный;A;False;False
3526;сутки;сутки;S;False;False
3524;встречать;встречать;V;False;False
3524;чем;чем;CONJ;False;False
3500;индексация;индексация;S;False;False
3378;великий;великий;A;False;False
3334;ноябрьский;ноябрьский;A;False;False
3287;растолкование;растолкование;S;False;False
3195;квадрат;квадрат;S;False;False
3195;пифагор;пифагор;S;False;False
3163;старинный;старинный;A;False;False
3148;тайна;тайна;S;False;False
3018;большой;большой;A;False;False
2926;ларина;ларина;S;False;False
2919;буря;буря;S;False;False
2919;магнитный;магнитный;A;False;False
2910;красивый;красивый;A;False;False
2880;магия;магия;S;False;False
2861;символ;символ;S;False;False
2823;ru;ru;None;False;True
2821;цвет;цвет;S;False;False
2752;модель;модель;S;False;False
2746;во;во;PR;False;False
2734;стричь;стричь;V;False;False
2709;индийский;индийский;A;False;False
2704;убывать;убывать;V;False;False
2676;время;время;S;False;False
2631;православный;православный;A;False;False
2620;парень;парень;S;False;False
2619;матрона;матрона;S;False;False
2619;московский;московский;A;False;False
2617;который;который;APRO;False;False
2617;сбываться;сбываться;V;False;False
2606;весь;весь;APRO;False;False
2563;выпуск;выпуск;S;False;False
2561;гавно;гавно;S;False;False
2512;тест;тест;S;False;False
2478;рабочий;рабочий;A;False;False
2472;ли;ли;PART;False;False
2432;беда;беда;S;False;False
2432;неожиданный;неожиданный;A;False;False
2432;постигать;постигать;V;False;False
2432;удар;удар;S;False;False
2425;мышь;мышь;S;False;False
2422;происхождение;происхождение;S;False;False
2397;мусульманский;мусульманский;A;False;False
2394;кровь;кровь;S;False;False
2384;без;без;PR;False;False
2384;регистрация;регистрация;S;False;False
2378;сколько;сколько;ADV;False;False
2363;нерабочий;нерабочий;A;False;False
2341;сьогодні;сьогодні;None;False;True
2220;пожар;пожар;S;False;False
2191;астропрогноз;астропрогноз;S;True;False
2168;экономический;экономический;A;False;False
2125;вера;вера;S;False;False
2125;лион;лион;S;False;False
2076;именины;именины;S;False;False
2053;кладбище;кладбище;S;False;False
2037;немецкий;немецкий;A;False;False
2000;екатерина;екатерина;S;False;False
1993;расшифровка;расшифровка;S;False;False
1968;друид;друид;S;False;False
1962;формат;формат;S;False;False
1960;он;он;SPRO;False;False
1957;стихия;стихия;S;False;False
1937;удача;удача;S;False;False
1899;желание;желание;S;False;False
1838;еврейский;еврейский;A;False;False
1814;sonnik;sonnik;None;False;True
1805;алфавит;алфавит;S;False;False
1805;кличка;кличка;S;False;False
1794;вошь;вошь;S;False;False
1790;работа;работа;S;False;False
1784;бесплатный;бесплатный;A;False;False
1772;дмитрий;дмитрий;S;False;False
1771;дарья;дарья;S;False;False
1770;они;они;SPRO;False;False
1738;сергей;сергей;S;False;False
1730;настоящий;настоящий;A;False;False
1715;goroskop;goroskop;None;False;True
1711;александр;александр;S;False;False
1702;бюджетник;бюджетник;S;False;False
1702;зарплата;зарплата;S;False;False
1685;новогодний;новогодний;A;False;False
1685;обои;обои;S;False;False
1685;стол;стол;S;False;False
1681;расклад;расклад;S;False;False
1674;возраст;возраст;S;False;False
1674;психологический;психологический;A;False;False
1663;настя;настя;S;False;False
1644;эзотерика;эзотерика;S;False;False
1622;масленица;масленица;S;False;False
1613;мария;мария;S;False;False
1599;таракан;таракан;S;False;False
1587;плакать;плакать;V;False;False
1574;елена;елена;S;False;False
1565;максим;максим;S;False;False
1508;каждый;каждый;APRO;False;False
1498;а;а;CONJ;False;False
1498;до;до;PR;False;False
1488;снег;снег;S;False;False
1478;пасха;пасха;S;False;False
1468;ольга;ольга;S;False;False
1464;газета;газета;S;False;False
1429;порядок;порядок;S;False;False
1427;андрей;андрей;S;False;False
1421;война;война;S;False;False
1421;заканчиваться;заканчиваться;V;False;False
1420;второй;второй;ANUM;False;False
1420;ребенок;ребенок;S;False;False
1420;рожать;рожать;V;False;False
1396;астрология;астрология;S;False;False
1389;прическа;прическа;S;False;False
1373;сооник;сооник;S;True;False
1353;старость;старость;S;False;False
1351;кризис;кризис;S;False;False
1347;политолог;политолог;S;False;False
1342;гексаграмм;гексаграмм;S;True;False
1324;екатерининский;екатерининский;A;False;False
1316;бывший;бывший;A;False;False
1308;русский;русский;S;False;False
1304;всегда;всегда;ADVPRO;False;False
1304;приворот;приворот;S;False;False
1304;самостоятельно;самостоятельно;ADV;False;False
1304;читать;читать;V;False;False
1291;артем;артем;S;False;False
1284;гриб;гриб;S;False;False
1280;ирина;ирина;S;False;False
1270;игральный;игральный;A;False;False
1257;стоить;стоить;V;False;False
1241;михаил;михаил;S;False;False
1219;скачать;скачать;V;False;False
1215;следующий;следующий;A;False;False
1214;суеверие;суеверие;S;False;False
1213;вода;вода;S;False;False
1208;алин;алин;S;False;False
1194;нумероскоп;нумероскоп;S;False;False
1181;сегодняшний;сегодняшний;A;False;False
1178;секс;секс;S;False;False
1175;заговор;заговор;S;False;False
1175;сибирский;сибирский;A;False;False
1175;целительница;целительница;S;False;False
1170;рассчитать;рассчитать;V;False;False
1161;паук;паук;S;False;False
1159;видеть;видеть;V;False;False
1159;живой;живой;A;False;False
1159;разговаривать;разговаривать;V;False;False
1159;умерший;умерший;S;False;False
1135;астроцентр;астроцентр;S;True;False
1134;вещий;вещий;A;False;False
1130;даматаро;даматаро;S;True;False
1121;процент;процент;S;False;False
1121;цыганский;цыганский;A;False;False
1119;виктория;виктория;S;False;False
1109;славянский;славянский;A;False;False
1106;нужно;нужно;ADV;False;False
1106;самый;самый;APRO;False;False
1106;точный;точный;A;False;False
1105;необычный;необычный;A;False;False
1094;могила;могила;S;False;False
1092;алекперов;алекперов;S;False;False
1092;мы;мы;SPRO;False;False
1092;хаяла;хаяла;S;False;False
1064;лошадь;лошадь;S;False;False
1061;полина;полина;S;False;False
1048;вопрос;вопрос;S;False;False
1045;иван;иван;S;False;False
1045;илья;илья;S;False;False
1023;золото;золото;S;False;False
1014;матвей;матвей;S;False;False
1009;приглашение;приглашение;S;False;False
1005;светлана;светлана;S;False;False
1003;играть;играть;V;False;False
1003;косынка;косынка;S;False;False
984;божий;божий;A;False;False
984;казанский;казанский;A;False;False
984;мать;мать;S;False;False
981;елизавета;елизавета;S;False;False
972;современный;современный;A;False;False
965;увеличение;увеличение;S;False;False
959;вольф;вольф;S;False;False
