Weight;Source;Target;Type
1260;за;час;Undirected
708;день;за;Undirected
571;за;минута;Undirected
548;в;за;Undirected
538;за;км;Undirected
489;за;на;Undirected
473;за;сколько;Undirected
375;а;за;Undirected
341;км;час;Undirected
340;за;первый;Undirected
328;за;проходить;Undirected
320;за;и;Undirected
294;два;за;Undirected
292;за;один;Undirected
290;выполнять;за;Undirected
280;за;мочь;Undirected
256;за;проехать;Undirected
254;за;работа;Undirected
232;за;какой;Undirected
228;если;за;Undirected
227;за;скорость;Undirected
224;второй;за;Undirected
221;сколько;час;Undirected
213;на;час;Undirected
211;за;рабочий;Undirected
209;за;он;Undirected
206;км;проехать;Undirected
205;проходить;час;Undirected
203;а;час;Undirected
200;за;с;Undirected
193;на;сколько;Undirected
192;второй;первый;Undirected
189;км;проходить;Undirected
189;первый;час;Undirected
188;два;час;Undirected
185;за;расстояние;Undirected
184;за;секунда;Undirected
183;в;день;Undirected
180;за;по;Undirected
172;в;на;Undirected
171;за;работать;Undirected
167;в;час;Undirected
166;до;за;Undirected
161;мочь;час;Undirected
159;и;час;Undirected
156;за;месяц;Undirected
152;расстояние;час;Undirected
150;выполнять;работа;Undirected
149;выполнять;час;Undirected
144;проехать;час;Undirected
142;второй;час;Undirected
141;выполнять;мочь;Undirected
139;за;этот;Undirected
138;деталь;за;Undirected
138;за;из;Undirected
137;выполнять;день;Undirected
134;и;на;Undirected
134;км;скорость;Undirected
131;день;на;Undirected
130;быть;за;Undirected
130;минута;сколько;Undirected
130;один;час;Undirected
130;работа;час;Undirected
129;же;за;Undirected
128;весь;за;Undirected
127;за;что;Undirected
124;выполнять;рабочий;Undirected
122;за;чем;Undirected
122;первый;сколько;Undirected
121;рабочий;час;Undirected
119;бассейн;за;Undirected
119;скорость;час;Undirected
118;а;сколько;Undirected
117;вместе;за;Undirected
114;второй;сколько;Undirected
112;в;первый;Undirected
112;день;сколько;Undirected
112;минута;час;Undirected
111;день;работа;Undirected
108;а;один;Undirected
108;если;сколько;Undirected
108;на;первый;Undirected
107;а;минута;Undirected
107;за;много;Undirected
107;за;путь;Undirected
106;за;задача;Undirected
105;в;минута;Undirected
105;мочь;работа;Undirected
104;за;наполнять;Undirected
104;за;поезд;Undirected
103;деталь;час;Undirected
102;бригада;за;Undirected
102;в;какой;Undirected
101;а;на;Undirected
101;и;сколько;Undirected
101;на;чем;Undirected
100;за;неделя;Undirected
100;минута;первый;Undirected
99;автомобиль;за;Undirected
99;за;труба;Undirected
99;с;скорость;Undirected
98;в;и;Undirected
98;день;мочь;Undirected
98;один;сколько;Undirected
97;день;первый;Undirected
96;а;день;Undirected
96;за;м;Undirected
95;вместе;работать;Undirected
95;день;один;Undirected
93;выполнять;сколько;Undirected
93;же;сколько;Undirected
93;работать;час;Undirected
92;много;на;Undirected
92;он;час;Undirected
91;в;сколько;Undirected
91;два;работать;Undirected
90;какой;час;Undirected
89;два;мочь;Undirected
89;на;что;Undirected
88;второй;на;Undirected
88;мочь;работать;Undirected
88;час;чем;Undirected
87;в;что;Undirected
86;а;и;Undirected
86;вода;за;Undirected
86;делать;за;Undirected
86;если;на;Undirected
86;за;от;Undirected
85;он;сколько;Undirected
85;первый;рабочий;Undirected
84;в;если;Undirected
84;день;рабочий;Undirected
84;если;час;Undirected
84;за;ч;Undirected
84;какой;минута;Undirected
82;а;первый;Undirected
82;бассейн;час;Undirected
82;выполнять;заказ;Undirected
82;деталь;рабочий;Undirected
82;за;заказ;Undirected
82;мочь;один;Undirected
82;наполнять;первый;Undirected
81;если;он;Undirected
81;за;кг;Undirected
80;за;одинаковый;Undirected
80;за;турист;Undirected
80;км;расстояние;Undirected
80;минута;наполнять;Undirected
80;проходить;расстояние;Undirected
79;выполнять;один;Undirected
79;за;метр;Undirected
79;и;минута;Undirected
79;много;час;Undirected
79;первый;чем;Undirected
79;работа;рабочий;Undirected
79;сколько;чем;Undirected
79;труба;час;Undirected
78;а;в;Undirected
78;бассейн;труба;Undirected
78;в;км;Undirected
78;второй;минута;Undirected
78;выполнять;первый;Undirected
78;много;чем;Undirected
78;рабочий;сколько;Undirected
77;в;он;Undirected
77;велосипедист;за;Undirected
77;второй;рабочий;Undirected
77;из;час;Undirected
77;минута;скорость;Undirected
76;за;решать;Undirected
76;км;он;Undirected
76;он;скорость;Undirected
76;работа;сколько;Undirected
76;работать;сколько;Undirected
75;а;выполнять;Undirected
75;автомобиль;час;Undirected
75;второй;чем;Undirected
75;два;работа;Undirected
75;за;мастер;Undirected
75;за;находить;Undirected
74;а;второй;Undirected
74;за;машина;Undirected
74;за;между;Undirected
74;за;ученик;Undirected
74;за;через;Undirected
74;км;поезд;Undirected
74;много;первый;Undirected
73;вместе;мочь;Undirected
73;день;км;Undirected
73;за;количество;Undirected
73;минута;на;Undirected
73;на;рабочий;Undirected
72;выполнять;на;Undirected
72;до;от;Undirected
72;минута;один;Undirected
72;один;первый;Undirected
71;в;из;Undirected
71;выполнять;работать;Undirected
71;два;день;Undirected
71;км;ч;Undirected
70;вместе;два;Undirected
70;делать;час;Undirected
70;за;насос;Undirected
70;за;три;Undirected
70;км;минута;Undirected
70;сколько;этот;Undirected
69;бассейн;наполнять;Undirected
69;бассейн;первый;Undirected
69;время;за;Undirected
69;деталь;на;Undirected
69;на;он;Undirected
68;а;мочь;Undirected
68;второй;выполнять;Undirected
68;день;по;Undirected
68;за;ответ;Undirected
68;скорость;ч;Undirected
67;весь;день;Undirected
67;делать;деталь;Undirected
67;делать;на;Undirected
67;и;первый;Undirected
67;км;на;Undirected
67;по;час;Undirected
66;в;скорость;Undirected
66;два;сколько;Undirected
66;км;сколько;Undirected
66;работа;работать;Undirected
65;быть;если;Undirected
65;город;за;Undirected
65;день;если;Undirected
65;другой;за;Undirected
65;за;известно;Undirected
65;за;который;Undirected
65;за;литр;Undirected
65;за;при;Undirected
65;за;проезжать;Undirected
65;известно;что;Undirected
65;между;час;Undirected
65;минута;проходить;Undirected
65;много;сколько;Undirected
65;сколько;что;Undirected
64;деталь;первый;Undirected
64;заказ;час;Undirected
64;минута;с;Undirected
63;быть;сколько;Undirected
63;день;работать;Undirected
63;другой;один;Undirected
63;если;минута;Undirected
63;за;определять;Undirected
63;за;поле;Undirected
63;за;со;Undirected
63;известно;на;Undirected
63;между;расстояние;Undirected
63;один;работа;Undirected
63;поезд;проходить;Undirected
62;автомобиль;км;Undirected
62;второй;наполнять;Undirected
62;деталь;много;Undirected
62;если;первый;Undirected
62;месяц;на;Undirected
62;мочь;рабочий;Undirected
62;на;по;Undirected
62;поезд;час;Undirected
61;в;проходить;Undirected
61;в;чем;Undirected
61;велосипедист;км;Undirected
61;деталь;чем;Undirected
61;проехать;сколько;Undirected
60;бассейн;минута;Undirected
60;велосипедист;проехать;Undirected
60;вместе;выполнять;Undirected
60;второй;много;Undirected
60;день;и;Undirected
60;какой;он;Undirected
60;находить;секунда;Undirected
60;первый;что;Undirected
59;а;км;Undirected
59;в;второй;Undirected
59;вместе;час;Undirected
59;выполнять;два;Undirected
59;делать;много;Undirected
59;делать;рабочий;Undirected
59;для;за;Undirected
59;же;час;Undirected
59;за;как;Undirected
59;за;тот;Undirected
59;проходить;скорость;Undirected
59;проходить;турист;Undirected
59;с;час;Undirected
58;бригада;день;Undirected
58;быстро;за;Undirected
58;быть;день;Undirected
58;выполнять;и;Undirected
58;делать;чем;Undirected
58;до;час;Undirected
58;за;они;Undirected
58;за;страница;Undirected
58;какой;на;Undirected
58;первый;труба;Undirected
58;час;что;Undirected
57;второй;деталь;Undirected
57;день;проходить;Undirected
57;до;на;Undirected
57;же;тот;Undirected
57;за;километр;Undirected
57;за;решение;Undirected
57;за;средний;Undirected
57;известно;сколько;Undirected
57;много;рабочий;Undirected
57;мочь;сколько;Undirected
57;на;один;Undirected
57;наполнять;час;Undirected
56;автомобиль;проехать;Undirected
56;в;много;Undirected
56;день;с;Undirected
56;если;что;Undirected
56;за;рубль;Undirected
56;за;то;Undirected
56;из;на;Undirected
56;минута;насос;Undirected
56;минута;он;Undirected
56;наполнять;труба;Undirected
56;рабочий;чем;Undirected
55;второй;один;Undirected
55;выполнять;если;Undirected
55;если;же;Undirected
55;за;забор;Undirected
55;за;не;Undirected
55;за;самолет;Undirected
55;проходить;путь;Undirected
54;в;с;Undirected
54;вместе;работа;Undirected
54;второй;делать;Undirected
54;второй;мочь;Undirected
